name,price,image,category_id,description,gebrochts
Chicken Pate,20.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-pate.jpg,2,"Creamy chicken-vegetable pate with a zing. Excellent on matzah, and Brenda's daughter's favorite Passover snack!
1 pint, serves 4 to 6",false
Roast Chicken (Dark),7.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/roast-chicken-quarters.jpg,4,A succulent and gently seasoned roasted chicken leg/thigh combo.,false
Roast Chicken (White),8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/roast-chicken-quarters.jpg,4,A succulent and gently seasoned roasted chicken breast/wing combo.,false
BBQ Chicken (Dark),7.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/bbq-chicken-quarters.jpg,4,Hearty red sauce on tender pieces of dark chicken.,false
BBQ Chicken (White),8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/bbq-chicken-quarters.jpg,4,Hearty red sauce on tender pieces of white chicken.,false
Cranberry Chicken (Dark),8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cranberry-chicken-quarters.jpg,4,Chicken leg/thigh combo cooked with a sweet & tangy cranberry marinade.,false
Cranberry Chicken (White),9.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cranberry-chicken-quarters.jpg,4,Chicken breast/wing combo cooked with a sweet & tangy cranberry marinade.,false
Marbella Chicken (Dark),8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/marbella-chicken-quarters.jpg,4,"Chicken leg/thigh combo cooked with prunes, capers, olives & white wine.",false
Marbella Chicken (White),9.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/marbella-chicken-quarters.jpg,4,"Chicken breast/wing combo cooked with prunes, capers, olives & white wine.",false
Boneless Grilled Chicken,9.50,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/boneless-grilled-chicken-breast.jpg,4,"Grilled to perfection.
approx. 5 oz., serves 1",false
Chicken Schnitzel,10.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-schnitzel.jpg,4,"Boneless breast of chicken coated in a matza-crumb topping and baked (yes baked, not fried).Â  Perfect for kids, and the young at heart!
approx. 6 oz., serves 1",true
Pistachio Crusted Chicken,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/pistachio-crusted-chicken.jpg,4,"Tender chicken breasts surrounded by a delicate pistachio crumb crust. Another favorite in the Walt household.
approx. 6 oz., serves 1",true
Grilled Chicken Pesto,11.50,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/grilled-pesto-chicken.jpg,4,"approx. 6 oz., serves 1",true
Chicken Breast Stuffed with Pesto,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chicken-breast-stuffed-with-pesto.jpg,4,"A nutty, tangy pesto sauce tempered perfectly by the chicken's own robust flavor.
1 piece, serves 1",false
Moroccan Chicken Kabobs,17.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/moroccan-chicken-kabobs.jpg,4,"Tender thighs of chicken suffused with aromatic Mediterranean flavors and served on a stick. Â Makes a great appetizer for two!
4 skewers, serves 1",false
Roasted Turkey Breast,50.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/roastedturkey.jpg,4,"We roast a turkey breast, and give it to you sliced. Take it up a notch with our Homemade Cranberry Chutney.
1 whole turkey breast, serves 6 to 8",false
Babootie,25.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/babootie.jpg,4,"Curried ground meat, and topped with creamy mashed potatoes. Our South African Shepherd's pie.
1 pan, serves 4",false
Sliced Brisket w/Gravy,28.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sliced-brisket-with-gravy.jpg,4,"A delicious staple at any Holiday meal.
1 pound, serves 3 to 4",false
Braised Short Ribs,60.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/braised-short-ribs.jpg,4,"Very tender and bursting with flavor. One order serves 4 people.
4 large ribs, serves 4",false
Skirt Steak,56.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/SkirtSteak2.jpg,4,Skirt Steak with Kansas City Sauce.,false
Citrus Baked Salmon,10.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/citrus-salmon-cropped.jpg,4,"So good it's hard to believe that it's good for you!
approx. 5 oz., serves 1",false
Nut Encrusted Salmon,11.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/nut-encrusted-salmon.jpg,4,"Fresh salmon fillets surrounded by a delicate pistachio crumb crust.
approx. 6 oz., serves 1",true
Herbed Roasted Potatoes,16.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/herbed-roasted-potatoes.jpg,5,"Crisp on the outside, tender on the inside, and all seasoned to perfection.
1 pan, serves 6",false
Oven Roasted Harvest Vegetables,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/oven-roasted-harvest-vegetables.jpg,5,"Richly colored fall vegetables. A beautiful dish that is both savory & sweet.
Contains: Butternut, zucchini, mushrooms, carrots, eggplant, red onion, red and yellow peppers.
1 pan, serves 4 to 6",false
Ratatouille,16.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/ratatouille.jpg,5,"Eggplant, zucchini, & onions in a tomato based sauce combine for a rich & satisfying dish.
1 pan, serves 6",false
Sweet Potato Soufflé,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-potato-souffle.jpg,5,"Creamy yams & sweet spuds with a crusty nut topping.
1 pan, serves 6",true
Potato Kugel,20.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/potato-kugel.jpg,5,"Crisp & creamy with just the right touch of pepper & onion.
1 pan, serves 12",true
Butternut Terrine,20.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/butternut-terrine.jpg,5,"Light and on the sweeter side. A definite crowd pleaser.
1 pan, serves 6",true
Carrot and Broccoli Terrine,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/carrot-broccoli-terrine.jpg,5,"Half carrot, half broccoli. Lighter than a kugel & just the perfect way to get in your veggies!
1 pan, serves 6",true
Sweet Potato Nut Puffs,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/sweet-potato-nut-puff.jpg,5,"Creamy yams rolled in chopped walnuts and baked to just the right crispness
6 large puffs, serves 6",true
"Beet, Apple and Pecan Salad",14.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/beet-apple-pecan-salad.jpg,6,"Roasted beets, pecans and apples tossed in a sweet honey-raisin vinaigrette.
1 pint, serves 4",false
Cucumber Salad,8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cucumber-salad.jpg,6,"Fresh & tangy! Brenda's middle daughter can't get enough of it.
1 pint, serves 4",false
Potato Leek Salad,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/potato-leek-salad.jpg,6,"Spuds & leeks in a tantalizing herb dressing.
1 pint, serves 6",false
Marinated Mushrooms,15.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/marinated-mushrooms.jpg,6,"Herbed and marinated mushrooms that are deliciously seasoned.
1 pint, serves 4",false
Moroccan Carrot Salad,13.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/moroccan-carrot-salad.jpg,6,"Cumin laced with a zing of lemon
1 pint, serves 4",false
Cranberry Chutney,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/cranberry-chutney.jpg,6,"Chunky and cinnamon laced. AÂ greatÂ combination of cranberry, apple, raisin, celery & more.
1 pint, serves 4",false
Haroset,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/haroset.jpg,5,"So good, it's not just for dipping anymore!
1 pint, serves 4",false
Sweet Balsamic Vinaigrette,10.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/brendas-dressings.jpg,6,"Terrific with greens & fruit
8 oz.",false
Honey-Mustard Dressing,8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/honey-mustard.jpg,6,"A fantastic blend of sweet & tangy
8 oz.",false
Creamy Mexican Dressing,8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/mexican-dressing.jpg,6,"This spicy pink dressing will do wonders for your hearty leaves, tomatoes & avocados
8 oz.",false
Creamy Garlic Dressing,8.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Creamy-Garlic-Dressing.jpg,6,"The name says it all. Great on a House salad or any other
8 oz.",false
Brownie Bar,16.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/Brownie-Bar.jpg,7,"Fudgy & chewy!
1 pan, serves 8 to 10",true
Pesach Granola,10.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/pesach-granola.jpg,7,"With Cranberries and Almonds. Great when used as a morning cereal or as an anytime snack.
1 pound",true
Brendas Cranberry Biscotti,14.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/brendas-cranberry-biscotti.jpg,7,"A Brenda favorite for non-chocolate lovers!
1 pound, contains approximately 15 pieces of biscotti.",true
Chocolate Crunch Biscotti,15.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/brendas-choc-crunch-biscotti.jpg,7,"A Brenda favorite for chocolate lovers.
1 pound, contains approximately 15 pieces of biscotti.",true
Chocolate Dipped Meringues,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/meringue-cookies.jpg,7,"Delicate vanilla confection with a chocolate dipped bottom
1 dozen large dipped meringues, serves 12",false
Apple Tart,35.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/apple-tart-e1426434259236.jpg,7,"Tart Granny Smiths baked with a sweet crunchy shell. 
Serves 10 to 12.",true
Chocolate Mousse Cake,36.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chocolate-mousse-cake.jpg,7,"Delicately thin crust topped with deep and deliciously fluffy chocolate mousse.
10 inch cake, serves 12",false
Chocolate Nut Torte,36.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chocolate-nut-torte.jpg,7,"Dense & rich. Berries make the perfect accompaniment.
10 inch cake, serves 12",false
Almond Cake,30.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/almond-cake.jpg,7,"
10 inch cake, serves 12",true
Chocolate Mousse,18.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/chocolate-mousse.jpg,7,"Deliciously fluffy chocolate mousse.
1 quart, serves 6 to 8",false
Homemade Strawberry Ice Cream,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-strawberry-icecream.jpg,7,"Creamy, fresh & light.
1 quart, serves 6 to 8",false
Homemade Mango Ice Cream,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/homemade-mango-icecream.jpg,7,"Sweet ice cream with a perfect tang.
1 quart, serves 6 to 8",false
Poached Pears in Wine,20.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/poached-pears-in-wine.jpg,7,"Sophisticated, subtle & sensational.
4 pears, serves 4",false
Hard Boiled Eggs,12.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/hard-boiled-eggs.jpg,8,"One Dozen pre-shelled, hard-boiled eggs.",false
Seder Plate,35.00,http://passovercatering.cateringbybrenda.com/wp-content/uploads/2015/03/seder-plate.jpg,8,"Includes Haroset, Maror, Shank Bone, Burnt Egg, and Celery.
1 seder plate (with all the fixings)",false
